Original Text,Placeholder,Entity Type
"773 Harrison Street, Unit 64, San Francisco, CA 94109",[PII1-----------------------------------------------],MANUAL
188-12-3166,[PII2-----],MANUAL
amanda.moore@email.com,[EML1----------------],EMAIL_ADDRESS
(415) 555-9943,[TEL1--------],PHONE_NUMBER
Amanda Moore,[PER1------],PERSON
122-80-4080,[IBN1-----],IBAN
sarah.thompson@email.com,[EML2------------------],EMAIL_ADDRESS
(415) 555-6224,[TEL2--------],PHONE_NUMBER
Sarah Thompson,[PER2--------],PERSON
Landlord,[PER3--],PERSON
